date,metric,count,uniques,collected_at
2026-04-14,clones,14,4,2026-04-29T06:08:17.714871+00:00
2026-04-14,views,87,15,2026-04-29T06:08:17.714871+00:00
2026-04-15,clones,6,3,2026-04-29T06:08:17.714871+00:00
2026-04-15,views,56,18,2026-04-29T06:08:17.714871+00:00
2026-04-16,clones,3,3,2026-04-30T06:11:57.815439+00:00
2026-04-16,views,103,22,2026-04-30T06:11:57.815439+00:00
2026-04-17,clones,7,5,2026-04-30T06:11:57.815439+00:00
2026-04-17,views,53,17,2026-04-30T06:11:57.815439+00:00
2026-04-18,clones,134,13,2026-04-30T06:11:57.815439+00:00
2026-04-18,views,467,151,2026-04-30T06:11:57.815439+00:00
2026-04-19,clones,35,18,2026-04-30T06:11:57.815439+00:00
2026-04-19,views,285,90,2026-04-30T06:11:57.815439+00:00
2026-04-20,clones,8,8,2026-04-30T06:11:57.815439+00:00
2026-04-20,views,333,81,2026-04-30T06:11:57.815439+00:00
2026-04-21,clones,309,56,2026-04-30T06:11:57.815439+00:00
2026-04-21,views,333,50,2026-04-30T06:11:57.815439+00:00
2026-04-22,clones,191,80,2026-04-30T06:11:57.815439+00:00
2026-04-22,views,269,55,2026-04-30T06:11:57.815439+00:00
2026-04-23,clones,150,49,2026-04-30T06:11:57.815439+00:00
2026-04-23,views,131,44,2026-04-30T06:11:57.815439+00:00
2026-04-24,clones,410,81,2026-04-30T06:11:57.815439+00:00
2026-04-24,views,383,57,2026-04-30T06:11:57.815439+00:00
2026-04-25,clones,2677,192,2026-04-30T06:11:57.815439+00:00
2026-04-25,views,365,25,2026-04-30T06:11:57.815439+00:00
2026-04-26,clones,1796,171,2026-04-30T06:11:57.815439+00:00
2026-04-26,views,360,24,2026-04-30T06:11:57.815439+00:00
2026-04-27,clones,1230,114,2026-04-30T06:11:57.815439+00:00
2026-04-27,views,255,29,2026-04-30T06:11:57.815439+00:00
2026-04-28,clones,986,116,2026-04-30T06:11:57.815439+00:00
2026-04-28,views,299,49,2026-04-30T06:11:57.815439+00:00
2026-04-29,clones,999,53,2026-04-30T06:11:57.815439+00:00
2026-04-29,views,159,50,2026-04-30T06:11:57.815439+00:00
